 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_461
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   224      16    141971    141955   2.47523   4.71875  0.002213 0.0252463
   225      16    142636    142620   2.47577   2.59766  0.058825 0.0252394
   226      16    143206    143190   2.47467   2.22656   0.03721 0.0252498
   227      16    143356    143340   2.46634  0.585938  0.002395 0.0252498
   228      16    143389    143373   2.45609  0.128906  0.001904 0.0252764
   229      16    143389    143373   2.44537         0         - 0.0252764
   230      16    143389    143373   2.43474         0         - 0.0252764
   231      16    143389    143373    2.4242         0         - 0.0252764
   232      16    143389    143373   2.41375         0         - 0.0252764
   233      16    143389    143373   2.40339         0         - 0.0252764
   234      16    143389    143373   2.39312         0         - 0.0252764
   235      16    143658    143642    2.3874  0.150112  0.002294 0.0261737
   236      16    144281    144265    2.3876   2.43359  0.002953 0.0261694
   237      16    144600    144584   2.38278   1.24609  0.002255 0.0262239
   238      16    145312    145296   2.38446   2.78125  0.002401 0.0262007
   239      16    145971    145955   2.38525   2.57422  0.044143 0.0261906
2014-11-25 13:42:08.864387min lat: 0.001498 max lat: 65.5564 avg lat: 0.0262122
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16    146495    146479   2.38384   2.04688  0.002241 0.0262122
   241      16    147191    147175   2.38523   2.71875  0.002116 0.0261983
   242      16    147741    147725   2.38425   2.14844  0.051113 0.0262043
   243      16    148115    148099   2.38045   1.46094  0.002941 0.0262491
   244      16    148716    148700   2.38031   2.34766  0.001773 0.0262445
   245      16    148843    148827   2.37262  0.496094  0.038507 0.0262774
   246      16    148860    148844   2.36324 0.0664062  0.036036  0.026277
   247      16    148860    148844   2.35367         0         -  0.026277
   248      16    148860    148844   2.34418         0         -  0.026277
   249      16    148860    148844   2.33477         0         -  0.026277
   250      16    148860    148844   2.32543         0         -  0.026277
   251      16    149201    149185   2.32147  0.266406  0.002972 0.0269116
   252      16    149561    149545   2.31784   1.40625  0.002085 0.0269524
   253      16    149976    149960   2.31509   1.62109  0.003102 0.0269858
   254      16    150434    150418   2.31301   1.78906  0.003573 0.0269827
   255      16    150589    150573   2.30632  0.605469   0.00248 0.0270932
   256      16    150925    150909   2.30243    1.3125  0.003074 0.0271356
   257      16    151076    151060   2.29577  0.589844  0.003689 0.0271503
   258      16    151434    151418   2.29229   1.39844  0.002936 0.0272576
   259      16    152093    152077   2.29338   2.57422  0.059645 0.0272475
2014-11-25 13:42:28.866790min lat: 0.001498 max lat: 65.5564 avg lat: 0.0272383
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16    152708    152692    2.2938   2.40234  0.064932 0.0272383
   261      16    152918    152902   2.28815  0.820312  0.003434 0.0272766
   262      16    153167    153151   2.28313  0.972656  0.002887 0.0273581
   263      16    153311    153295   2.27659    0.5625  0.002858 0.0273896
   264      16    153311    153295   2.26796         0         - 0.0273896
   265      16    153311    153295   2.25941         0         - 0.0273896
   266      16    153311    153295   2.25091         0         - 0.0273896
   267      16    153320    153304   2.242610.00878906  0.033489 0.0274392
   268      16    153320    153304   2.23425         0         - 0.0274392
   269      16    153625    153609   2.23037  0.595703  0.005568 0.0280186
   270      16    154016    154000   2.22776   1.52734  0.037527 0.0280479
   271      16    154238    154222   2.22274  0.867188  0.002537 0.0280496
   272      16    154523    154507   2.21866   1.11328   0.00232   0.02816
   273      16    154897    154881   2.21589   1.46094  0.033605 0.0281625
   274      16    154962    154946   2.20873  0.253906  0.002529 0.0282414
   275      16    155070    155054   2.20223  0.421875  0.033247 0.0283143
   276      16    155070    155054   2.19425         0         - 0.0283143
   277      16    155070    155054   2.18633         0         - 0.0283143
   278      16    155070    155054   2.17846         0         - 0.0283143
   279      16    155070    155054   2.17066         0         - 0.0283143
2014-11-25 13:42:48.868810min lat: 0.001498 max lat: 65.5564 avg lat: 0.0283143
